Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,13/01/2020,Loteria de Boyaca,4300,3960,197,Mayor
"2,020",1,8/01/2020,Loteria de Boyaca,4299,7297,286,Mayor
"2,020",1,27/01/2020,Loteria de Boyaca,4302,8081,188,Mayor
"2,020",1,20/01/2020,Loteria de Boyaca,4301,7071,135,Mayor
"2,020",2,10/02/2020,Loteria de Boyaca,4304,585,162,Mayor
"2,020",2,17/02/2020,Loteria de Boyaca,4305,2303,233,Mayor
"2,020",2,3/02/2020,Loteria de Boyaca,4303,2505,343,Mayor
"2,020",2,24/02/2020,Loteria de Boyaca,4306,6832,140,Mayor
"2,020",3,17/03/2020,Loteria de Boyaca,4309,3497,343,Mayor
"2,020",3,12/03/2020,Loteria de Boyaca,4308,2088,200,Mayor
"2,020",3,24/03/2020,Loteria de Boyaca,4310,973,55,Mayor
"2,020",3,4/03/2020,Loteria de Boyaca,4307,3606,343,Mayor
"2,020",5,25/05/2020,Loteria de Boyaca,4312,4096,322,Mayor
"2,020",5,18/05/2020,Loteria de Boyaca,4311,8117,56,Mayor
"2,020",6,23/06/2020,Loteria de Boyaca,4316,6153,246,Mayor
"2,020",6,1/06/2020,Loteria de Boyaca,4313,3810,356,Mayor
"2,020",6,30/06/2020,Loteria de Boyaca,4317,7270,124,Mayor
"2,020",6,8/06/2020,Loteria de Boyaca,4314,414,150,Mayor
"2,020",6,16/06/2020,Loteria de Boyaca,4315,7014,70,Mayor
"2,020",7,21/07/2020,Loteria de Boyaca,4320,3001,148,Mayor
"2,020",7,13/07/2020,Loteria de Boyaca,4319,9449,292,Mayor
"2,020",7,5/07/2020,Loteria de Boyaca,4318,9268,224,Mayor
"2,020",7,26/07/2020,Loteria de Boyaca,4321,919,10,Mayor
"2,020",8,18/08/2020,Loteria de Boyaca,4324,7677,360,Mayor
"2,020",8,24/08/2020,Loteria de Boyaca,4325,6011,158,Mayor
"2,020",8,31/08/2020,Loteria de Boyaca,4326,6830,333,Mayor
"2,020",8,3/08/2020,Loteria de Boyaca,4322,2983,389,Mayor
"2,020",8,10/08/2020,Loteria de Boyaca,4323,4051,317,Mayor
"2,020",9,14/09/2020,Loteria de Boyaca,4328,3210,244,Mayor
"2,020",9,7/09/2020,Loteria de Boyaca,4327,9332,69,Mayor
"2,020",9,21/09/2020,Loteria de Boyaca,4329,8121,170,Mayor
"2,020",9,28/09/2020,Loteria de Boyaca,4330,2636,385,Mayor
"2,020",10,19/10/2020,Loteria de Boyaca,4333,8045,67,Mayor
"2,020",10,26/10/2020,Loteria de Boyaca,4334,6376,141,Mayor
"2,020",10,13/10/2020,Loteria de Boyaca,4332,7221,266,Mayor
"2,020",10,4/10/2020,Loteria de Boyaca,4331,3373,237,Mayor
"2,020",11,30/11/2020,Loteria de Boyaca,4339,2888,83,Mayor
"2,020",11,23/11/2020,Loteria de Boyaca,4338,946,368,Mayor
"2,020",11,12/11/2020,Loteria de Boyaca,4336,3586,314,Mayor
"2,020",11,17/11/2020,Loteria de Boyaca,4337,6802,280,Mayor
"2,020",11,3/11/2020,Loteria de Boyaca,4335,871,235,Mayor
"2,020",12,28/12/2020,Loteria de Boyaca,4343,67,17,Mayor
"2,020",12,21/12/2020,Loteria de Boyaca,4342,2915,163,Mayor
"2,020",12,14/12/2020,Loteria de Boyaca,4341,709,345,Mayor
"2,020",12,28/12/2020,Loteria de Boyaca,8,3718,49,Mayor
"2,020",12,7/12/2020,Loteria de Boyaca,4340,9681,343,Mayor
"2,020",1,13/01/2020,Loteria de Boyaca,4300,7242,45,Secos
"2,020",1,27/01/2020,Loteria de Boyaca,4302,6299,362,Secos
"2,020",1,20/01/2020,Loteria de Boyaca,4301,4911,211,Secos
"2,020",1,8/01/2020,Loteria de Boyaca,4299,2239,313,Secos
"2,020",2,17/02/2020,Loteria de Boyaca,4305,3581,147,Secos
"2,020",2,10/02/2020,Loteria de Boyaca,4304,8385,246,Secos
"2,020",2,24/02/2020,Loteria de Boyaca,4306,3657,318,Secos
"2,020",2,3/02/2020,Loteria de Boyaca,4303,2884,321,Secos
"2,020",3,12/03/2020,Loteria de Boyaca,4308,1799,68,Secos
"2,020",3,24/03/2020,Loteria de Boyaca,4310,903,340,Secos
"2,020",3,17/03/2020,Loteria de Boyaca,4309,4260,110,Secos
"2,020",3,4/03/2020,Loteria de Boyaca,4307,2218,370,Secos
"2,020",5,25/05/2020,Loteria de Boyaca,4312,4807,315,Secos
"2,020",5,18/05/2020,Loteria de Boyaca,4311,4624,346,Secos
"2,020",6,23/06/2020,Loteria de Boyaca,4316,862,207,Secos
"2,020",6,1/06/2020,Loteria de Boyaca,4313,1581,56,Secos
"2,020",6,8/06/2020,Loteria de Boyaca,4314,6981,61,Secos
"2,020",6,16/06/2020,Loteria de Boyaca,4315,2457,57,Secos
"2,020",6,30/06/2020,Loteria de Boyaca,4317,8158,150,Secos
"2,020",7,5/07/2020,Loteria de Boyaca,4318,5062,82,Secos
"2,020",7,26/07/2020,Loteria de Boyaca,4321,2881,60,Secos
"2,020",7,21/07/2020,Loteria de Boyaca,4320,5979,385,Secos
"2,020",7,13/07/2020,Loteria de Boyaca,4319,5633,45,Secos
"2,020",8,3/08/2020,Loteria de Boyaca,4322,2449,71,Secos
"2,020",8,18/08/2020,Loteria de Boyaca,4324,934,158,Secos
"2,020",8,31/08/2020,Loteria de Boyaca,4326,9706,179,Secos
"2,020",8,24/08/2020,Loteria de Boyaca,4325,6975,15,Secos
"2,020",8,10/08/2020,Loteria de Boyaca,4323,5412,280,Secos
"2,020",9,14/09/2020,Loteria de Boyaca,4328,6398,212,Secos
"2,020",9,21/09/2020,Loteria de Boyaca,4329,5187,211,Secos
"2,020",9,28/09/2020,Loteria de Boyaca,4330,4695,267,Secos
"2,020",9,7/09/2020,Loteria de Boyaca,4327,8867,191,Secos
"2,020",10,19/10/2020,Loteria de Boyaca,4333,9331,122,Secos
"2,020",10,26/10/2020,Loteria de Boyaca,4334,5350,280,Secos
"2,020",10,4/10/2020,Loteria de Boyaca,4331,3173,94,Secos
"2,020",10,13/10/2020,Loteria de Boyaca,4332,440,291,Secos
"2,020",11,17/11/2020,Loteria de Boyaca,4337,111,98,Secos
"2,020",11,30/11/2020,Loteria de Boyaca,4339,3096,106,Secos
"2,020",11,3/11/2020,Loteria de Boyaca,4335,3781,162,Secos
"2,020",11,23/11/2020,Loteria de Boyaca,4338,4253,2,Secos
"2,020",11,12/11/2020,Loteria de Boyaca,4336,3703,66,Secos
