Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,14/01/2020,Loteria de Cundinamarca,4479,6368,173,Mayor
"2,020",1,8/01/2020,Loteria de Cundinamarca,4478,7207,115,Mayor
"2,020",1,21/01/2020,Loteria de Cundinamarca,4480,6661,179,Mayor
"2,020",1,28/01/2020,Loteria de Cundinamarca,4481,254,55,Mayor
"2,020",2,4/02/2020,Loteria de Cundinamarca,4482,1820,98,Mayor
"2,020",2,11/02/2020,Loteria de Cundinamarca,4483,1422,122,Mayor
"2,020",2,18/02/2020,Loteria de Cundinamarca,4484,6405,174,Mayor
"2,020",3,30/03/2020,Loteria de Cundinamarca,4486,6607,162,Mayor
"2,020",3,30/03/2020,Loteria de Cundinamarca,4487,4008,9,Mayor
"2,020",3,30/03/2020,Loteria de Cundinamarca,4485,4787,212,Mayor
"2,020",3,31/03/2020,Loteria de Cundinamarca,4488,9131,101,Mayor
"2,020",5,12/05/2020,Loteria de Cundinamarca,4489,4682,151,Mayor
"2,020",5,19/05/2020,Loteria de Cundinamarca,4490,1569,151,Mayor
"2,020",6,24/06/2020,Loteria de Cundinamarca,4495,1883,202,Mayor
"2,020",6,9/06/2020,Loteria de Cundinamarca,4493,5333,118,Mayor
"2,020",6,2/06/2020,Loteria de Cundinamarca,4492,1491,5,Mayor
"2,020",6,17/06/2020,Loteria de Cundinamarca,4494,4999,142,Mayor
"2,020",6,1/06/2020,Loteria de Cundinamarca,4491,4410,173,Mayor
"2,020",7,1/07/2020,Loteria de Cundinamarca,4496,2852,66,Mayor
"2,020",7,22/07/2020,Loteria de Cundinamarca,4499,3651,102,Mayor
"2,020",7,15/07/2020,Loteria de Cundinamarca,4498,1430,68,Mayor
"2,020",7,28/07/2020,Loteria de Cundinamarca,4500,3691,201,Mayor
"2,020",7,8/07/2020,Loteria de Cundinamarca,4497,6559,161,Mayor
"2,020",8,19/08/2020,Loteria de Cundinamarca,4503,7888,156,Mayor
"2,020",8,4/08/2020,Loteria de Cundinamarca,4501,430,121,Mayor
"2,020",8,25/08/2020,Loteria de Cundinamarca,4504,8709,201,Mayor
"2,020",8,11/08/2020,Loteria de Cundinamarca,4502,305,44,Mayor
"2,020",9,1/09/2020,Loteria de Cundinamarca,4505,4571,47,Mayor
"2,020",9,8/09/2020,Loteria de Cundinamarca,4506,252,39,Mayor
"2,020",9,22/09/2020,Loteria de Cundinamarca,4508,2707,92,Mayor
"2,020",9,29/09/2020,Loteria de Cundinamarca,4509,3803,123,Mayor
"2,020",9,16/09/2020,Loteria de Cundinamarca,4507,615,166,Mayor
"2,020",10,14/10/2020,Loteria de Cundinamarca,4511,6753,9,Mayor
"2,020",10,6/10/2020,Loteria de Cundinamarca,4510,3665,190,Mayor
"2,020",10,27/10/2020,Loteria de Cundinamarca,4513,7441,25,Mayor
"2,020",10,20/10/2020,Loteria de Cundinamarca,4512,7582,50,Mayor
"2,020",11,4/11/2020,Loteria de Cundinamarca,4514,8314,42,Mayor
"2,020",11,18/11/2020,Loteria de Cundinamarca,4516,2826,174,Mayor
"2,020",11,24/11/2020,Loteria de Cundinamarca,4517,9881,32,Mayor
"2,020",11,12/11/2020,Loteria de Cundinamarca,4515,2856,188,Mayor
"2,020",12,22/12/2020,Loteria de Cundinamarca,4521,5003,9,Mayor
"2,020",12,29/12/2020,Loteria de Cundinamarca,4522,2644,138,Mayor
"2,020",12,1/12/2020,Loteria de Cundinamarca,4518,3203,22,Mayor
"2,020",12,8/12/2020,Loteria de Cundinamarca,4519,9419,195,Mayor
"2,020",12,15/12/2020,Loteria de Cundinamarca,4520,3784,70,Mayor
"2,020",1,14/01/2020,Loteria de Cundinamarca,4479,4097,92,Secos
"2,020",1,21/01/2020,Loteria de Cundinamarca,4480,1859,52,Secos
"2,020",1,8/01/2020,Loteria de Cundinamarca,4478,645,79,Secos
"2,020",1,28/01/2020,Loteria de Cundinamarca,4481,4087,222,Secos
"2,020",2,11/02/2020,Loteria de Cundinamarca,4483,3736,23,Secos
"2,020",2,4/02/2020,Loteria de Cundinamarca,4482,4690,175,Secos
"2,020",2,18/02/2020,Loteria de Cundinamarca,4484,6441,45,Secos
"2,020",3,30/03/2020,Loteria de Cundinamarca,4486,5216,84,Secos
"2,020",3,31/03/2020,Loteria de Cundinamarca,4488,6101,22,Secos
"2,020",3,30/03/2020,Loteria de Cundinamarca,4487,4343,142,Secos
"2,020",3,30/03/2020,Loteria de Cundinamarca,4485,6948,64,Secos
"2,020",5,19/05/2020,Loteria de Cundinamarca,4490,4384,196,Secos
