Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,4/01/2021,Loteria de Manizales,4675,967,47,Mayor
"2,020",1,10/01/2020,Loteria de Manizales,4631,2637,193,Mayor
"2,020",1,8/01/2020,Loteria de Manizales,4630,2906,101,Mayor
"2,020",1,30/01/2020,Loteria de Manizales,4634,6780,43,Mayor
"2,020",1,16/01/2020,Loteria de Manizales,4632,4806,74,Mayor
"2,020",1,23/01/2020,Loteria de Manizales,4633,1483,10,Mayor
"2,020",2,20/02/2020,Loteria de Manizales,4637,5820,149,Mayor
"2,020",2,13/02/2020,Loteria de Manizales,4636,1486,130,Mayor
"2,020",2,6/02/2020,Loteria de Manizales,4635,8805,98,Mayor
"2,020",3,27/03/2020,Loteria de Manizales,4638,4264,37,Mayor
"2,020",3,27/03/2020,Loteria de Manizales,4639,9521,76,Mayor
"2,020",4,17/04/2020,Loteria de Manizales,4640,9316,185,Mayor
"2,020",4,17/04/2020,Loteria de Manizales,4641,117,172,Mayor
"2,020",5,21/05/2020,Loteria de Manizales,4643,1021,168,Mayor
"2,020",5,14/05/2020,Loteria de Manizales,4642,6926,5,Mayor
"2,020",5,28/05/2020,Loteria de Manizales,4644,6819,54,Mayor
"2,020",6,18/06/2020,Loteria de Manizales,4647,8772,62,Mayor
"2,020",6,10/06/2020,Loteria de Manizales,4646,1363,110,Mayor
"2,020",6,30/06/2020,Loteria de Manizales,4648,1967,195,Mayor
"2,020",6,4/06/2020,Loteria de Manizales,4645,9494,86,Mayor
"2,020",7,9/07/2020,Loteria de Manizales,4650,7498,95,Mayor
"2,020",7,23/07/2020,Loteria de Manizales,4652,4601,61,Mayor
"2,020",7,31/07/2020,Loteria de Manizales,4653,4516,150,Mayor
"2,020",7,16/07/2020,Loteria de Manizales,4651,4204,58,Mayor
"2,020",7,5/07/2020,Loteria de Manizales,4649,7055,173,Mayor
