Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,8/01/2020,Loteria del Cauca,2286,4520,187,Mayor
"2,020",1,27/01/2020,Loteria del Cauca,2289,9738,127,Mayor
"2,020",1,20/01/2020,Loteria del Cauca,2288,7823,129,Mayor
"2,020",1,13/01/2020,Loteria del Cauca,2287,4211,18,Mayor
"2,020",2,3/02/2020,Loteria del Cauca,2290,2013,173,Mayor
"2,020",2,10/02/2020,Loteria del Cauca,2291,8263,139,Mayor
"2,020",2,17/02/2020,Loteria del Cauca,2292,6796,112,Mayor
"2,020",3,30/03/2020,Loteria del Cauca,2295,2517,132,Mayor
"2,020",3,30/03/2020,Loteria del Cauca,2293,8440,36,Mayor
"2,020",3,30/03/2020,Loteria del Cauca,2297,5016,150,Mayor
"2,020",3,30/03/2020,Loteria del Cauca,2296,1570,29,Mayor
"2,020",3,30/03/2020,Loteria del Cauca,2294,3079,105,Mayor
"2,020",5,25/05/2020,Loteria del Cauca,2299,1407,130,Mayor
"2,020",5,19/05/2020,Loteria del Cauca,2298,9659,189,Mayor
"2,020",6,8/06/2020,Loteria del Cauca,2301,8762,47,Mayor
"2,020",6,16/06/2020,Loteria del Cauca,2302,9409,54,Mayor
"2,020",6,23/06/2020,Loteria del Cauca,2303,1865,5,Mayor
"2,020",6,30/06/2020,Loteria del Cauca,2304,2415,45,Mayor
"2,020",6,1/06/2020,Loteria del Cauca,2300,35,143,Mayor
"2,020",7,21/07/2020,Loteria del Cauca,2307,8313,173,Mayor
"2,020",7,13/07/2020,Loteria del Cauca,2306,312,148,Mayor
"2,020",7,5/07/2020,Loteria del Cauca,2305,6273,31,Mayor
"2,020",7,26/07/2020,Loteria del Cauca,2308,4172,53,Mayor
"2,020",8,31/08/2020,Loteria del Cauca,2313,8944,88,Mayor
"2,020",8,24/08/2020,Loteria del Cauca,2312,8522,41,Mayor
"2,020",8,3/08/2020,Loteria del Cauca,2309,321,9,Mayor
"2,020",8,10/08/2020,Loteria del Cauca,2310,8841,113,Mayor
"2,020",8,18/08/2020,Loteria del Cauca,2311,3007,180,Mayor
"2,020",9,14/09/2020,Loteria del Cauca,2315,7052,135,Mayor
"2,020",9,8/09/2020,Loteria del Cauca,2314,3575,17,Mayor
"2,020",9,28/09/2020,Loteria del Cauca,2317,8353,99,Mayor
"2,020",9,21/09/2020,Loteria del Cauca,2316,9320,128,Mayor
"2,020",10,26/10/2020,Loteria del Cauca,2321,1411,136,Mayor
"2,020",10,13/10/2020,Loteria del Cauca,2319,4673,0,Mayor
"2,020",10,4/10/2020,Loteria del Cauca,2318,5183,160,Mayor
"2,020",10,21/10/2020,Loteria del Cauca,2320,6176,187,Mayor
"2,020",11,23/11/2020,Loteria del Cauca,2325,7347,175,Mayor
"2,020",11,17/11/2020,Loteria del Cauca,2324,3060,174,Mayor
"2,020",11,3/11/2020,Loteria del Cauca,2322,5421,122,Mayor
"2,020",11,30/11/2020,Loteria del Cauca,2326,6357,70,Mayor
"2,020",11,12/11/2020,Loteria del Cauca,2323,6049,160,Mayor
"2,020",12,28/12/2020,Loteria del Cauca,2330,3126,130,Mayor
"2,020",12,21/12/2020,Loteria del Cauca,2329,4981,157,Mayor
"2,020",12,14/12/2020,Loteria del Cauca,2328,1919,32,Mayor
"2,020",12,7/12/2020,Loteria del Cauca,2327,7249,94,Mayor
"2,020",1,27/01/2020,Loteria del Cauca,2289,1582,171,Secos
"2,020",1,8/01/2020,Loteria del Cauca,2286,5689,176,Secos
"2,020",1,13/01/2020,Loteria del Cauca,2287,3128,162,Secos
