Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,29/01/2020,Loteria del Huila,4434,6014,5,Mayor
"2,020",1,22/01/2020,Loteria del Huila,4433,4559,61,Mayor
"2,020",1,8/01/2020,Loteria del Huila,4431,505,2,Mayor
"2,020",1,15/01/2020,Loteria del Huila,4432,6315,92,Mayor
"2,020",2,5/02/2020,Loteria del Huila,4435,1397,97,Mayor
"2,020",2,19/02/2020,Loteria del Huila,4437,9310,103,Mayor
"2,020",2,27/02/2020,Loteria del Huila,4438,9862,40,Mayor
"2,020",2,12/02/2020,Loteria del Huila,4436,8689,86,Mayor
"2,020",3,27/03/2020,Loteria del Huila,4439,934,59,Mayor
"2,020",3,13/03/2020,Loteria del Huila,4440,8975,108,Mayor
"2,020",4,15/04/2020,Loteria del Huila,4441,9385,98,Mayor
"2,020",5,20/05/2020,Loteria del Huila,4443,8719,82,Mayor
"2,020",5,13/05/2020,Loteria del Huila,4442,3447,14,Mayor
"2,020",5,27/05/2020,Loteria del Huila,4444,4762,3,Mayor
"2,020",6,17/06/2020,Loteria del Huila,4447,9032,49,Mayor
"2,020",6,10/06/2020,Loteria del Huila,4446,6102,59,Mayor
"2,020",6,3/06/2020,Loteria del Huila,4445,6354,70,Mayor
"2,020",6,24/06/2020,Loteria del Huila,4448,7209,87,Mayor
"2,020",7,8/07/2020,Loteria del Huila,4450,1479,120,Mayor
"2,020",7,22/07/2020,Loteria del Huila,4452,4895,58,Mayor
"2,020",7,15/07/2020,Loteria del Huila,4451,4468,99,Mayor
"2,020",7,1/07/2020,Loteria del Huila,4449,9989,37,Mayor
"2,020",7,29/07/2020,Loteria del Huila,4453,6484,138,Mayor
"2,020",8,12/08/2020,Loteria del Huila,4455,935,103,Mayor
"2,020",8,13/08/2020,Loteria del Huila,4454,949,23,Mayor
"2,020",8,26/08/2020,Loteria del Huila,4457,7017,57,Mayor
"2,020",8,19/08/2020,Loteria del Huila,4456,5625,91,Mayor
"2,020",9,23/09/2020,Loteria del Huila,4461,4780,17,Mayor
"2,020",9,9/09/2020,Loteria del Huila,4459,4778,59,Mayor
"2,020",9,30/09/2020,Loteria del Huila,4462,2376,106,Mayor
"2,020",9,2/09/2020,Loteria del Huila,4458,8944,125,Mayor
"2,020",9,16/09/2020,Loteria del Huila,4460,9762,45,Mayor
"2,020",10,28/10/2020,Loteria del Huila,4466,5972,128,Mayor
"2,020",10,14/10/2020,Loteria del Huila,4464,2399,51,Mayor
"2,020",10,7/10/2020,Loteria del Huila,4463,4383,123,Mayor
"2,020",10,21/10/2020,Loteria del Huila,4465,5449,121,Mayor
"2,020",11,12/11/2020,Loteria del Huila,4468,6604,114,Mayor
"2,020",11,26/11/2020,Loteria del Huila,4470,7736,74,Mayor
"2,020",11,18/11/2020,Loteria del Huila,4469,1438,46,Mayor
"2,020",11,4/11/2020,Loteria del Huila,4467,3780,11,Mayor
"2,020",12,8/12/2020,Loteria del Huila,4472,9899,98,Mayor
"2,020",12,16/12/2020,Loteria del Huila,4473,2059,130,Mayor
"2,020",12,30/12/2020,Loteria del Huila,4475,9914,50,Mayor
"2,020",12,23/12/2020,Loteria del Huila,4474,6676,98,Mayor
"2,020",12,2/12/2020,Loteria del Huila,4471,9795,6,Mayor
"2,020",1,22/01/2020,Loteria del Huila,4433,16,11,Secos
"2,020",1,8/01/2020,Loteria del Huila,4431,3639,129,Secos
"2,020",1,15/01/2020,Loteria del Huila,4432,8062,138,Secos
"2,020",1,29/01/2020,Loteria del Huila,4434,3007,97,Secos
"2,020",2,19/02/2020,Loteria del Huila,4437,6477,20,Secos
"2,020",2,27/02/2020,Loteria del Huila,4438,2267,106,Secos
"2,020",2,5/02/2020,Loteria del Huila,4435,3901,13,Secos
"2,020",2,12/02/2020,Loteria del Huila,4436,3226,94,Secos
"2,020",3,13/03/2020,Loteria del Huila,4440,3537,45,Secos
"2,020",3,27/03/2020,Loteria del Huila,4439,5495,79,Secos
"2,020",4,15/04/2020,Loteria del Huila,4441,1611,107,Secos
"2,020",5,20/05/2020,Loteria del Huila,4443,6148,116,Secos
"2,020",5,27/05/2020,Loteria del Huila,4444,5567,119,Secos
"2,020",5,13/05/2020,Loteria del Huila,4442,7840,36,Secos
"2,020",6,17/06/2020,Loteria del Huila,4447,5419,115,Secos
"2,020",6,10/06/2020,Loteria del Huila,4446,6315,123,Secos
"2,020",6,3/06/2020,Loteria del Huila,4445,6533,65,Secos
"2,020",6,24/06/2020,Loteria del Huila,4448,9186,30,Secos
"2,020",7,8/07/2020,Loteria del Huila,4450,6886,25,Secos
"2,020",7,15/07/2020,Loteria del Huila,4451,991,116,Secos
"2,020",7,22/07/2020,Loteria del Huila,4452,9682,94,Secos
"2,020",7,29/07/2020,Loteria del Huila,4453,8283,8,Secos
