Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,30/01/2020,Loteria del Meta,2977,4885,85,Mayor
"2,020",1,8/01/2020,Loteria del Meta,2973,2297,89,Mayor
"2,020",1,4/01/2021,Loteria del Meta,3018,907,101,Mayor
"2,020",1,10/01/2020,Loteria del Meta,2974,564,65,Mayor
"2,020",1,23/01/2020,Loteria del Meta,2976,9406,77,Mayor
"2,020",1,16/01/2020,Loteria del Meta,2975,8367,74,Mayor
"2,020",2,6/02/2020,Loteria del Meta,2978,6911,125,Mayor
"2,020",2,20/02/2020,Loteria del Meta,2980,9162,40,Mayor
"2,020",2,13/02/2020,Loteria del Meta,2979,1470,27,Mayor
"2,020",3,29/03/2020,Loteria del Meta,2983,9768,20,Mayor
"2,020",3,29/03/2020,Loteria del Meta,2982,7461,109,Mayor
"2,020",3,29/03/2020,Loteria del Meta,2981,9429,127,Mayor
"2,020",3,29/03/2020,Loteria del Meta,2984,9285,129,Mayor
"2,020",5,28/05/2020,Loteria del Meta,2987,376,14,Mayor
"2,020",5,14/05/2020,Loteria del Meta,2985,7537,42,Mayor
"2,020",5,21/05/2020,Loteria del Meta,2986,3395,105,Mayor
"2,020",6,10/06/2020,Loteria del Meta,2989,3757,43,Mayor
"2,020",6,4/06/2020,Loteria del Meta,2988,1390,88,Mayor
"2,020",6,18/06/2020,Loteria del Meta,2990,2151,44,Mayor
"2,020",6,30/06/2020,Loteria del Meta,2991,2495,18,Mayor
"2,020",7,30/07/2020,Loteria del Meta,2996,6636,46,Mayor
"2,020",7,23/07/2020,Loteria del Meta,2995,3745,18,Mayor
"2,020",7,5/07/2020,Loteria del Meta,2992,9774,0,Mayor
"2,020",7,16/07/2020,Loteria del Meta,2994,5582,3,Mayor
"2,020",7,9/07/2020,Loteria del Meta,2993,5201,120,Mayor
"2,020",8,13/08/2020,Loteria del Meta,2998,1181,107,Mayor
"2,020",8,6/08/2020,Loteria del Meta,2997,5520,40,Mayor
"2,020",8,20/08/2020,Loteria del Meta,2999,3663,64,Mayor
"2,020",8,27/08/2020,Loteria del Meta,3000,3264,8,Mayor
"2,020",9,10/09/2020,Loteria del Meta,3002,592,44,Mayor
"2,020",9,3/09/2020,Loteria del Meta,3001,4244,114,Mayor
"2,020",9,24/09/2020,Loteria del Meta,3004,7629,40,Mayor
"2,020",9,17/09/2020,Loteria del Meta,3003,8694,126,Mayor
"2,020",10,15/10/2020,Loteria del Meta,3007,7325,79,Mayor
"2,020",10,8/10/2020,Loteria del Meta,3006,3346,129,Mayor
"2,020",10,1/10/2020,Loteria del Meta,3005,5023,126,Mayor
"2,020",10,22/10/2020,Loteria del Meta,3008,1144,44,Mayor
"2,020",10,29/10/2020,Loteria del Meta,3009,3580,42,Mayor
"2,020",11,5/11/2020,Loteria del Meta,3010,1104,81,Mayor
"2,020",11,26/11/2020,Loteria del Meta,3013,1963,48,Mayor
"2,020",11,19/11/2020,Loteria del Meta,3012,2080,117,Mayor
"2,020",11,12/11/2020,Loteria del Meta,3011,2803,89,Mayor
"2,020",12,17/12/2020,Loteria del Meta,3016,6302,3,Mayor
"2,020",12,24/12/2020,Loteria del Meta,3017,5640,99,Mayor
"2,020",12,3/12/2020,Loteria del Meta,3014,5884,61,Mayor
"2,020",12,10/12/2020,Loteria del Meta,3015,1275,119,Mayor
"2,020",1,30/01/2020,Loteria del Meta,2977,5975,8,Secos
"2,020",1,23/01/2020,Loteria del Meta,2976,1064,47,Secos
"2,020",1,10/01/2020,Loteria del Meta,2974,4587,67,Secos
"2,020",1,4/01/2021,Loteria del Meta,3018,9364,71,Secos
"2,020",1,8/01/2020,Loteria del Meta,2973,4287,76,Secos
"2,020",1,16/01/2020,Loteria del Meta,2975,2230,73,Secos
"2,020",2,6/02/2020,Loteria del Meta,2978,1616,32,Secos
"2,020",2,13/02/2020,Loteria del Meta,2979,297,36,Secos
"2,020",2,20/02/2020,Loteria del Meta,2980,3982,102,Secos
"2,020",3,29/03/2020,Loteria del Meta,2983,1690,63,Secos
"2,020",3,29/03/2020,Loteria del Meta,2981,8564,86,Secos
"2,020",3,29/03/2020,Loteria del Meta,2982,5140,52,Secos
"2,020",3,29/03/2020,Loteria del Meta,2984,4478,98,Secos
"2,020",5,28/05/2020,Loteria del Meta,2987,4193,115,Secos
"2,020",5,14/05/2020,Loteria del Meta,2985,3272,109,Secos
"2,020",5,21/05/2020,Loteria del Meta,2986,4224,71,Secos
"2,020",6,4/06/2020,Loteria del Meta,2988,8398,123,Secos
"2,020",6,10/06/2020,Loteria del Meta,2989,4559,31,Secos
"2,020",6,18/06/2020,Loteria del Meta,2990,4003,23,Secos
"2,020",6,30/06/2020,Loteria del Meta,2991,4366,102,Secos
"2,020",7,30/07/2020,Loteria del Meta,2996,9138,6,Secos
"2,020",7,23/07/2020,Loteria del Meta,2995,4778,27,Secos
"2,020",7,16/07/2020,Loteria del Meta,2994,4217,73,Secos
"2,020",7,9/07/2020,Loteria del Meta,2993,6331,30,Secos
"2,020",7,5/07/2020,Loteria del Meta,2992,5179,52,Secos
"2,020",8,27/08/2020,Loteria del Meta,3000,2869,47,Secos
"2,020",8,20/08/2020,Loteria del Meta,2999,5972,69,Secos
"2,020",8,6/08/2020,Loteria del Meta,2997,9721,71,Secos
"2,020",8,13/08/2020,Loteria del Meta,2998,2221,128,Secos
"2,020",9,10/09/2020,Loteria del Meta,3002,3067,99,Secos
"2,020",9,24/09/2020,Loteria del Meta,3004,5507,80,Secos
"2,020",9,3/09/2020,Loteria del Meta,3001,6349,89,Secos
"2,020",9,17/09/2020,Loteria del Meta,3003,1085,128,Secos
"2,020",10,15/10/2020,Loteria del Meta,3007,4764,34,Secos
"2,020",10,1/10/2020,Loteria del Meta,3005,2866,41,Secos
"2,020",10,8/10/2020,Loteria del Meta,3006,1898,42,Secos
"2,020",10,29/10/2020,Loteria del Meta,3009,4134,84,Secos
"2,020",10,22/10/2020,Loteria del Meta,3008,886,67,Secos
"2,020",11,5/11/2020,Loteria del Meta,3010,8828,44,Secos
"2,020",11,12/11/2020,Loteria del Meta,3011,1229,50,Secos
"2,020",11,26/11/2020,Loteria del Meta,3013,4886,43,Secos
"2,020",11,19/11/2020,Loteria del Meta,3012,63,118,Secos
"2,020",12,17/12/2020,Loteria del Meta,3016,9254,122,Secos
"2,020",12,24/12/2020,Loteria del Meta,3017,3834,73,Secos
"2,020",12,10/12/2020,Loteria del Meta,3015,8917,127,Secos
"2,020",12,3/12/2020,Loteria del Meta,3014,8171,118,Secos
"2,020",1,4/01/2021,Loteria del Meta,3018,4876,78,Secos
"2,020",1,23/01/2020,Loteria del Meta,2976,9958,21,Secos
"2,020",1,8/01/2020,Loteria del Meta,2973,6282,40,Secos
"2,020",1,10/01/2020,Loteria del Meta,2974,2430,37,Secos
"2,020",1,30/01/2020,Loteria del Meta,2977,9564,94,Secos
"2,020",1,16/01/2020,Loteria del Meta,2975,3478,112,Secos
"2,020",2,20/02/2020,Loteria del Meta,2980,6375,47,Secos
"2,020",2,6/02/2020,Loteria del Meta,2978,9615,90,Secos
"2,020",2,13/02/2020,Loteria del Meta,2979,6944,104,Secos
"2,020",3,29/03/2020,Loteria del Meta,2983,9664,38,Secos
"2,020",3,29/03/2020,Loteria del Meta,2981,244,0,Secos
"2,020",3,29/03/2020,Loteria del Meta,2984,5752,70,Secos
"2,020",3,29/03/2020,Loteria del Meta,2982,690,83,Secos
"2,020",5,28/05/2020,Loteria del Meta,2987,3279,48,Secos
"2,020",5,14/05/2020,Loteria del Meta,2985,1740,5,Secos
"2,020",5,21/05/2020,Loteria del Meta,2986,4948,77,Secos
"2,020",6,4/06/2020,Loteria del Meta,2988,6163,108,Secos
"2,020",6,10/06/2020,Loteria del Meta,2989,7780,49,Secos
"2,020",6,18/06/2020,Loteria del Meta,2990,5576,47,Secos
"2,020",6,30/06/2020,Loteria del Meta,2991,7289,38,Secos
"2,020",7,23/07/2020,Loteria del Meta,2995,84,76,Secos
"2,020",7,30/07/2020,Loteria del Meta,2996,7676,127,Secos
"2,020",7,9/07/2020,Loteria del Meta,2993,9019,27,Secos
"2,020",7,16/07/2020,Loteria del Meta,2994,8751,20,Secos
"2,020",7,5/07/2020,Loteria del Meta,2992,8172,75,Secos
"2,020",8,6/08/2020,Loteria del Meta,2997,6554,32,Secos
"2,020",8,27/08/2020,Loteria del Meta,3000,4281,86,Secos
"2,020",8,13/08/2020,Loteria del Meta,2998,9497,56,Secos
"2,020",8,20/08/2020,Loteria del Meta,2999,1647,3,Secos
"2,020",9,10/09/2020,Loteria del Meta,3002,363,124,Secos
"2,020",9,3/09/2020,Loteria del Meta,3001,3613,35,Secos
"2,020",9,24/09/2020,Loteria del Meta,3004,5934,83,Secos
"2,020",9,17/09/2020,Loteria del Meta,3003,5796,40,Secos
"2,020",10,15/10/2020,Loteria del Meta,3007,6035,50,Secos
"2,020",10,1/10/2020,Loteria del Meta,3005,1691,15,Secos
"2,020",10,8/10/2020,Loteria del Meta,3006,5159,27,Secos
"2,020",10,29/10/2020,Loteria del Meta,3009,1826,25,Secos
"2,020",10,22/10/2020,Loteria del Meta,3008,988,39,Secos
"2,020",11,26/11/2020,Loteria del Meta,3013,4177,12,Secos
"2,020",11,19/11/2020,Loteria del Meta,3012,3940,97,Secos
"2,020",11,12/11/2020,Loteria del Meta,3011,9713,6,Secos
"2,020",11,5/11/2020,Loteria del Meta,3010,2011,95,Secos
"2,020",12,24/12/2020,Loteria del Meta,3017,2870,2,Secos
"2,020",12,17/12/2020,Loteria del Meta,3016,9031,24,Secos
"2,020",12,3/12/2020,Loteria del Meta,3014,6925,74,Secos
"2,020",12,10/12/2020,Loteria del Meta,3015,7854,39,Secos
"2,020",1,10/01/2020,Loteria del Meta,2974,7037,75,Secos
"2,020",1,8/01/2020,Loteria del Meta,2973,9948,10,Secos
"2,020",1,10/01/2020,Loteria del Meta,2974,3909,54,Secos
"2,020",1,16/01/2020,Loteria del Meta,2975,6994,45,Secos
"2,020",1,16/01/2020,Loteria del Meta,2975,4298,62,Secos
"2,020",1,30/01/2020,Loteria del Meta,2977,8961,108,Secos
"2,020",1,23/01/2020,Loteria del Meta,2976,4138,112,Secos
"2,020",1,4/01/2021,Loteria del Meta,3018,8642,64,Secos
"2,020",1,30/01/2020,Loteria del Meta,2977,6049,23,Secos
"2,020",1,4/01/2021,Loteria del Meta,3018,8327,91,Secos
