Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,31/01/2020,Loteria del Quindio,2699,6040,105,Mayor
"2,020",1,10/01/2020,Loteria del Quindio,2696,9011,138,Mayor
"2,020",1,8/01/2020,Loteria del Quindio,2695,4662,126,Mayor
"2,020",1,20/01/2020,Loteria del Quindio,2697,3441,37,Mayor
"2,020",1,4/01/2021,Loteria del Quindio,2740,7376,11,Mayor
"2,020",1,24/01/2020,Loteria del Quindio,2698,218,20,Mayor
"2,020",2,7/02/2020,Loteria del Quindio,2700,2588,28,Mayor
"2,020",2,14/02/2020,Loteria del Quindio,2701,2395,34,Mayor
"2,020",2,28/02/2020,Loteria del Quindio,2703,2667,114,Mayor
"2,020",2,21/02/2020,Loteria del Quindio,2702,3273,31,Mayor
"2,020",3,12/03/2020,Loteria del Quindio,2704,8170,116,Mayor
"2,020",3,24/03/2020,Loteria del Quindio,2706,5008,105,Mayor
"2,020",3,27/03/2020,Loteria del Quindio,2705,3275,17,Mayor
"2,020",5,15/05/2020,Loteria del Quindio,2707,5704,26,Mayor
"2,020",5,22/05/2020,Loteria del Quindio,2708,3195,114,Mayor
"2,020",6,30/06/2020,Loteria del Quindio,2713,499,37,Mayor
"2,020",6,19/06/2020,Loteria del Quindio,2712,2722,109,Mayor
"2,020",6,1/06/2020,Loteria del Quindio,2709,6628,124,Mayor
"2,020",6,5/06/2020,Loteria del Quindio,2710,2190,64,Mayor
"2,020",6,12/06/2020,Loteria del Quindio,2711,262,96,Mayor
"2,020",7,10/07/2020,Loteria del Quindio,2715,3134,96,Mayor
"2,020",7,24/07/2020,Loteria del Quindio,2717,6788,64,Mayor
"2,020",7,17/07/2020,Loteria del Quindio,2716,3690,106,Mayor
"2,020",7,5/07/2020,Loteria del Quindio,2714,8875,64,Mayor
"2,020",8,28/08/2020,Loteria del Quindio,2722,7426,97,Mayor
"2,020",8,21/08/2020,Loteria del Quindio,2721,9423,56,Mayor
"2,020",8,8/08/2020,Loteria del Quindio,2719,6794,52,Mayor
"2,020",8,1/08/2020,Loteria del Quindio,2718,5530,132,Mayor
"2,020",8,14/08/2020,Loteria del Quindio,2720,145,92,Mayor
"2,020",9,25/09/2020,Loteria del Quindio,2726,1573,4,Mayor
"2,020",9,11/09/2020,Loteria del Quindio,2724,6333,3,Mayor
"2,020",9,4/09/2020,Loteria del Quindio,2723,9044,115,Mayor
"2,020",9,17/09/2020,Loteria del Quindio,2725,8717,47,Mayor
"2,020",10,30/10/2020,Loteria del Quindio,2731,3512,2,Mayor
"2,020",10,16/10/2020,Loteria del Quindio,2729,4078,18,Mayor
"2,020",10,2/10/2020,Loteria del Quindio,2727,2082,31,Mayor
"2,020",10,9/10/2020,Loteria del Quindio,2728,5335,89,Mayor
"2,020",10,23/10/2020,Loteria del Quindio,2730,7046,13,Mayor
"2,020",11,20/11/2020,Loteria del Quindio,2734,3397,118,Mayor
"2,020",11,6/11/2020,Loteria del Quindio,2732,3172,34,Mayor
"2,020",11,27/11/2020,Loteria del Quindio,2735,1937,30,Mayor
"2,020",11,13/11/2020,Loteria del Quindio,2733,7152,112,Mayor
"2,020",12,28/12/2020,Loteria del Quindio,2739,1696,86,Mayor
"2,020",12,11/12/2020,Loteria del Quindio,2737,2727,81,Mayor
"2,020",12,18/12/2020,Loteria del Quindio,2738,9628,99,Mayor
"2,020",12,4/12/2020,Loteria del Quindio,2736,2549,11,Mayor
"2,020",1,10/01/2020,Loteria del Quindio,2696,570,67,Secos
"2,020",1,4/01/2021,Loteria del Quindio,2740,9688,48,Secos
"2,020",1,8/01/2020,Loteria del Quindio,2695,9271,2,Secos
"2,020",1,31/01/2020,Loteria del Quindio,2699,7645,87,Secos
"2,020",1,20/01/2020,Loteria del Quindio,2697,7934,53,Secos
"2,020",1,24/01/2020,Loteria del Quindio,2698,578,1,Secos
"2,020",2,7/02/2020,Loteria del Quindio,2700,3609,27,Secos
"2,020",2,14/02/2020,Loteria del Quindio,2701,8975,101,Secos
"2,020",2,21/02/2020,Loteria del Quindio,2702,5075,76,Secos
"2,020",2,28/02/2020,Loteria del Quindio,2703,5653,89,Secos
"2,020",3,12/03/2020,Loteria del Quindio,2704,2952,37,Secos
"2,020",3,24/03/2020,Loteria del Quindio,2706,4173,23,Secos
"2,020",3,27/03/2020,Loteria del Quindio,2705,1374,132,Secos
"2,020",5,22/05/2020,Loteria del Quindio,2708,2629,44,Secos
"2,020",5,15/05/2020,Loteria del Quindio,2707,6251,7,Secos
"2,020",6,19/06/2020,Loteria del Quindio,2712,3808,35,Secos
"2,020",6,30/06/2020,Loteria del Quindio,2713,5904,68,Secos
"2,020",6,1/06/2020,Loteria del Quindio,2709,4413,45,Secos
"2,020",6,5/06/2020,Loteria del Quindio,2710,9494,133,Secos
"2,020",6,12/06/2020,Loteria del Quindio,2711,394,92,Secos
"2,020",7,10/07/2020,Loteria del Quindio,2715,2572,54,Secos
"2,020",7,17/07/2020,Loteria del Quindio,2716,9135,88,Secos
"2,020",7,24/07/2020,Loteria del Quindio,2717,6718,33,Secos
"2,020",7,5/07/2020,Loteria del Quindio,2714,2860,2,Secos
"2,020",8,21/08/2020,Loteria del Quindio,2721,8581,38,Secos
"2,020",8,28/08/2020,Loteria del Quindio,2722,6013,38,Secos
"2,020",8,14/08/2020,Loteria del Quindio,2720,8405,107,Secos
"2,020",8,1/08/2020,Loteria del Quindio,2718,1758,34,Secos
"2,020",8,8/08/2020,Loteria del Quindio,2719,6102,57,Secos
"2,020",9,25/09/2020,Loteria del Quindio,2726,9645,132,Secos
"2,020",9,11/09/2020,Loteria del Quindio,2724,1354,80,Secos
"2,020",9,17/09/2020,Loteria del Quindio,2725,5200,110,Secos
"2,020",9,4/09/2020,Loteria del Quindio,2723,5514,110,Secos
"2,020",10,9/10/2020,Loteria del Quindio,2728,150,53,Secos
"2,020",10,16/10/2020,Loteria del Quindio,2729,7214,125,Secos
"2,020",10,30/10/2020,Loteria del Quindio,2731,2413,42,Secos
"2,020",10,2/10/2020,Loteria del Quindio,2727,8182,77,Secos
"2,020",10,23/10/2020,Loteria del Quindio,2730,8327,134,Secos
"2,020",11,20/11/2020,Loteria del Quindio,2734,6574,130,Secos
"2,020",11,27/11/2020,Loteria del Quindio,2735,3618,94,Secos
"2,020",11,6/11/2020,Loteria del Quindio,2732,4223,97,Secos
"2,020",11,13/11/2020,Loteria del Quindio,2733,1886,13,Secos
"2,020",12,28/12/2020,Loteria del Quindio,2739,673,86,Secos
"2,020",12,11/12/2020,Loteria del Quindio,2737,4594,61,Secos
"2,020",12,4/12/2020,Loteria del Quindio,2736,4609,107,Secos
"2,020",12,18/12/2020,Loteria del Quindio,2738,1320,113,Secos
"2,020",1,8/01/2020,Loteria del Quindio,2695,1498,83,Secos
"2,020",1,4/01/2021,Loteria del Quindio,2740,6572,12,Secos
"2,020",1,10/01/2020,Loteria del Quindio,2696,8460,75,Secos
"2,020",1,31/01/2020,Loteria del Quindio,2699,3672,4,Secos
"2,020",1,24/01/2020,Loteria del Quindio,2698,5347,59,Secos
"2,020",1,20/01/2020,Loteria del Quindio,2697,7515,29,Secos
"2,020",2,7/02/2020,Loteria del Quindio,2700,3811,114,Secos
"2,020",2,14/02/2020,Loteria del Quindio,2701,4074,51,Secos
"2,020",2,28/02/2020,Loteria del Quindio,2703,6948,106,Secos
"2,020",2,21/02/2020,Loteria del Quindio,2702,532,67,Secos
"2,020",3,27/03/2020,Loteria del Quindio,2705,9985,35,Secos
"2,020",3,12/03/2020,Loteria del Quindio,2704,8067,132,Secos
"2,020",3,24/03/2020,Loteria del Quindio,2706,3575,37,Secos
"2,020",5,15/05/2020,Loteria del Quindio,2707,4444,107,Secos
"2,020",5,22/05/2020,Loteria del Quindio,2708,112,37,Secos
"2,020",6,5/06/2020,Loteria del Quindio,2710,5383,27,Secos
"2,020",6,30/06/2020,Loteria del Quindio,2713,2936,56,Secos
"2,020",6,12/06/2020,Loteria del Quindio,2711,8307,126,Secos
"2,020",6,1/06/2020,Loteria del Quindio,2709,8741,129,Secos
"2,020",6,19/06/2020,Loteria del Quindio,2712,8880,87,Secos
"2,020",7,17/07/2020,Loteria del Quindio,2716,7445,45,Secos
"2,020",7,10/07/2020,Loteria del Quindio,2715,1007,44,Secos
"2,020",7,24/07/2020,Loteria del Quindio,2717,3647,25,Secos
"2,020",7,5/07/2020,Loteria del Quindio,2714,7813,94,Secos
"2,020",8,28/08/2020,Loteria del Quindio,2722,3728,61,Secos
"2,020",8,1/08/2020,Loteria del Quindio,2718,3641,59,Secos
"2,020",8,21/08/2020,Loteria del Quindio,2721,1650,103,Secos
"2,020",8,14/08/2020,Loteria del Quindio,2720,114,14,Secos
"2,020",8,8/08/2020,Loteria del Quindio,2719,3138,75,Secos
"2,020",9,25/09/2020,Loteria del Quindio,2726,719,90,Secos
"2,020",9,17/09/2020,Loteria del Quindio,2725,4977,107,Secos
"2,020",9,4/09/2020,Loteria del Quindio,2723,4398,32,Secos
"2,020",9,11/09/2020,Loteria del Quindio,2724,606,16,Secos
"2,020",10,2/10/2020,Loteria del Quindio,2727,5600,94,Secos
"2,020",10,30/10/2020,Loteria del Quindio,2731,5230,91,Secos
"2,020",10,9/10/2020,Loteria del Quindio,2728,7953,45,Secos
