Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,8/01/2020,Loteria del Risaralda,2627,5201,41,Mayor
"2,020",1,22/01/2020,Loteria del Risaralda,2629,8160,38,Mayor
"2,020",1,13/01/2020,Loteria del Risaralda,2628,2055,134,Mayor
"2,020",1,27/01/2020,Loteria del Risaralda,2630,4014,69,Mayor
"2,020",2,3/02/2020,Loteria del Risaralda,2631,2084,138,Mayor
"2,020",2,10/02/2020,Loteria del Risaralda,2632,4065,89,Mayor
"2,020",2,17/02/2020,Loteria del Risaralda,2633,6173,72,Mayor
"2,020",3,27/03/2020,Loteria del Risaralda,2634,3796,75,Mayor
"2,020",3,27/03/2020,Loteria del Risaralda,2638,9641,120,Mayor
"2,020",3,18/03/2020,Loteria del Risaralda,2637,6441,135,Mayor
"2,020",3,27/03/2020,Loteria del Risaralda,2636,7376,67,Mayor
"2,020",3,27/03/2020,Loteria del Risaralda,2635,2781,108,Mayor
"2,020",5,25/05/2020,Loteria del Risaralda,2640,252,105,Mayor
"2,020",5,16/05/2020,Loteria del Risaralda,2639,2532,70,Mayor
"2,020",6,30/06/2020,Loteria del Risaralda,2645,3219,98,Mayor
"2,020",6,16/06/2020,Loteria del Risaralda,2643,9075,91,Mayor
"2,020",6,1/06/2020,Loteria del Risaralda,2641,8180,97,Mayor
"2,020",6,6/06/2020,Loteria del Risaralda,2642,5875,51,Mayor
"2,020",6,23/06/2020,Loteria del Risaralda,2644,8402,169,Mayor
"2,020",7,21/07/2020,Loteria del Risaralda,2648,813,100,Mayor
"2,020",7,5/07/2020,Loteria del Risaralda,2646,3732,122,Mayor
"2,020",7,25/07/2020,Loteria del Risaralda,2649,6539,27,Mayor
"2,020",7,13/07/2020,Loteria del Risaralda,2647,7211,10,Mayor
"2,020",8,19/08/2020,Loteria del Risaralda,2652,278,164,Mayor
"2,020",8,24/08/2020,Loteria del Risaralda,2653,5963,3,Mayor
"2,020",8,31/08/2020,Loteria del Risaralda,2654,5093,78,Mayor
"2,020",8,10/08/2020,Loteria del Risaralda,2651,2166,70,Mayor
"2,020",8,1/08/2020,Loteria del Risaralda,2650,8424,112,Mayor
"2,020",9,28/09/2020,Loteria del Risaralda,2658,4059,52,Mayor
"2,020",9,21/09/2020,Loteria del Risaralda,2657,9070,105,Mayor
"2,020",9,14/09/2020,Loteria del Risaralda,2656,3305,47,Mayor
"2,020",9,7/09/2020,Loteria del Risaralda,2655,9252,1,Mayor
"2,020",10,20/10/2020,Loteria del Risaralda,2661,1890,85,Mayor
"2,020",10,26/10/2020,Loteria del Risaralda,2662,5154,51,Mayor
"2,020",10,13/10/2020,Loteria del Risaralda,2660,4489,121,Mayor
"2,020",10,5/10/2020,Loteria del Risaralda,2659,7694,28,Mayor
"2,020",11,17/11/2020,Loteria del Risaralda,2665,7382,142,Mayor
"2,020",11,3/11/2020,Loteria del Risaralda,2663,4869,80,Mayor
"2,020",11,23/11/2020,Loteria del Risaralda,2666,1104,49,Mayor
"2,020",11,30/11/2020,Loteria del Risaralda,2667,692,34,Mayor
"2,020",11,12/11/2020,Loteria del Risaralda,2664,4136,97,Mayor
"2,020",12,7/12/2020,Loteria del Risaralda,2668,8307,118,Mayor
"2,020",12,14/12/2020,Loteria del Risaralda,2669,7553,72,Mayor
"2,020",12,28/12/2020,Loteria del Risaralda,2671,8417,56,Mayor
"2,020",12,21/12/2020,Loteria del Risaralda,2670,556,127,Mayor
"2,020",1,22/01/2020,Loteria del Risaralda,2629,6045,107,Secos
"2,020",1,8/01/2020,Loteria del Risaralda,2627,4148,123,Secos
"2,020",1,13/01/2020,Loteria del Risaralda,2628,62,109,Secos
"2,020",1,27/01/2020,Loteria del Risaralda,2630,7648,83,Secos
"2,020",2,17/02/2020,Loteria del Risaralda,2633,5062,93,Secos
"2,020",2,3/02/2020,Loteria del Risaralda,2631,1620,22,Secos
"2,020",2,10/02/2020,Loteria del Risaralda,2632,1000,165,Secos
"2,020",3,27/03/2020,Loteria del Risaralda,2638,1473,25,Secos
"2,020",3,27/03/2020,Loteria del Risaralda,2635,5038,105,Secos
"2,020",3,18/03/2020,Loteria del Risaralda,2637,9352,3,Secos
"2,020",3,27/03/2020,Loteria del Risaralda,2634,8385,25,Secos
"2,020",3,27/03/2020,Loteria del Risaralda,2636,1608,135,Secos
"2,020",5,25/05/2020,Loteria del Risaralda,2640,313,137,Secos
"2,020",5,16/05/2020,Loteria del Risaralda,2639,6184,160,Secos
"2,020",6,23/06/2020,Loteria del Risaralda,2644,48,164,Secos
"2,020",6,1/06/2020,Loteria del Risaralda,2641,4672,108,Secos
"2,020",6,1/06/2020,Loteria del Risaralda,2641,1717,140,Secos
"2,020",6,6/06/2020,Loteria del Risaralda,2642,2305,163,Secos
"2,020",6,16/06/2020,Loteria del Risaralda,2643,9654,83,Secos
"2,020",6,1/06/2020,Loteria del Risaralda,2641,1846,81,Secos
"2,020",6,1/06/2020,Loteria del Risaralda,2641,1443,150,Secos
"2,020",6,16/06/2020,Loteria del Risaralda,2643,1840,50,Secos
"2,020",6,23/06/2020,Loteria del Risaralda,2644,6618,17,Secos
"2,020",6,16/06/2020,Loteria del Risaralda,2643,3067,62,Secos
"2,020",6,23/06/2020,Loteria del Risaralda,2644,1248,31,Secos
"2,020",6,6/06/2020,Loteria del Risaralda,2642,2083,97,Secos
"2,020",6,1/06/2020,Loteria del Risaralda,2641,6403,53,Secos
"2,020",6,6/06/2020,Loteria del Risaralda,2642,8827,28,Secos
"2,020",6,30/06/2020,Loteria del Risaralda,2645,3725,116,Secos
"2,020",6,16/06/2020,Loteria del Risaralda,2643,2737,120,Secos
"2,020",6,16/06/2020,Loteria del Risaralda,2643,5188,121,Secos
"2,020",6,6/06/2020,Loteria del Risaralda,2642,1205,124,Secos
"2,020",6,23/06/2020,Loteria del Risaralda,2644,2229,147,Secos
"2,020",6,6/06/2020,Loteria del Risaralda,2642,1784,73,Secos
"2,020",6,30/06/2020,Loteria del Risaralda,2645,8354,146,Secos
"2,020",6,30/06/2020,Loteria del Risaralda,2645,793,35,Secos
"2,020",6,30/06/2020,Loteria del Risaralda,2645,5843,8,Secos
"2,020",6,30/06/2020,Loteria del Risaralda,2645,3840,54,Secos
"2,020",6,23/06/2020,Loteria del Risaralda,2644,2220,4,Secos
"2,020",7,13/07/2020,Loteria del Risaralda,2647,7653,128,Secos
"2,020",7,21/07/2020,Loteria del Risaralda,2648,7476,117,Secos
"2,020",7,21/07/2020,Loteria del Risaralda,2648,4931,15,Secos
"2,020",7,25/07/2020,Loteria del Risaralda,2649,7826,128,Secos
"2,020",7,5/07/2020,Loteria del Risaralda,2646,2393,162,Secos
"2,020",7,5/07/2020,Loteria del Risaralda,2646,704,16,Secos
"2,020",7,5/07/2020,Loteria del Risaralda,2646,4530,13,Secos
"2,020",7,13/07/2020,Loteria del Risaralda,2647,1260,11,Secos
"2,020",7,25/07/2020,Loteria del Risaralda,2649,833,110,Secos
"2,020",7,5/07/2020,Loteria del Risaralda,2646,1020,77,Secos
"2,020",7,13/07/2020,Loteria del Risaralda,2647,3618,158,Secos
"2,020",7,5/07/2020,Loteria del Risaralda,2646,1644,163,Secos
"2,020",7,13/07/2020,Loteria del Risaralda,2647,5154,125,Secos
"2,020",7,25/07/2020,Loteria del Risaralda,2649,530,58,Secos
"2,020",7,25/07/2020,Loteria del Risaralda,2649,74,70,Secos
"2,020",7,21/07/2020,Loteria del Risaralda,2648,2071,153,Secos
"2,020",7,25/07/2020,Loteria del Risaralda,2649,5114,94,Secos
"2,020",7,21/07/2020,Loteria del Risaralda,2648,1365,55,Secos
"2,020",7,21/07/2020,Loteria del Risaralda,2648,4428,86,Secos
