Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,28/01/2020,Loteria del Tolima,3848,2148,136,Mayor
"2,020",1,14/01/2020,Loteria del Tolima,3846,8233,61,Mayor
"2,020",1,21/01/2020,Loteria del Tolima,3847,8851,50,Mayor
"2,020",1,8/01/2020,Loteria del Tolima,3845,1239,2,Mayor
"2,020",2,12/02/2020,Loteria del Tolima,3850,4467,59,Mayor
"2,020",2,18/02/2020,Loteria del Tolima,3851,1422,63,Mayor
"2,020",2,4/02/2020,Loteria del Tolima,3849,6135,17,Mayor
"2,020",4,1/04/2020,Loteria del Tolima,3853,5694,147,Mayor
"2,020",4,1/04/2020,Loteria del Tolima,3855,5592,82,Mayor
"2,020",4,1/04/2020,Loteria del Tolima,3852,6278,95,Mayor
"2,020",4,1/04/2020,Loteria del Tolima,3854,7686,16,Mayor
"2,020",5,12/05/2020,Loteria del Tolima,3856,5787,103,Mayor
"2,020",5,19/05/2020,Loteria del Tolima,3857,8224,99,Mayor
"2,020",5,27/05/2020,Loteria del Tolima,3858,4316,0,Mayor
"2,020",6,17/06/2020,Loteria del Tolima,3861,9546,61,Mayor
"2,020",6,24/06/2020,Loteria del Tolima,3862,7087,111,Mayor
"2,020",6,9/06/2020,Loteria del Tolima,3860,7423,132,Mayor
"2,020",6,2/06/2020,Loteria del Tolima,3859,8016,49,Mayor
"2,020",7,8/07/2020,Loteria del Tolima,3864,8946,26,Mayor
"2,020",7,28/07/2020,Loteria del Tolima,3867,5737,10,Mayor
"2,020",7,1/07/2020,Loteria del Tolima,3863,5977,88,Mayor
"2,020",7,15/07/2020,Loteria del Tolima,3865,55,72,Mayor
"2,020",7,22/07/2020,Loteria del Tolima,3866,2422,90,Mayor
"2,020",8,11/08/2020,Loteria del Tolima,3869,6102,138,Mayor
"2,020",8,25/08/2020,Loteria del Tolima,3871,3749,53,Mayor
"2,020",8,4/08/2020,Loteria del Tolima,3868,9951,21,Mayor
"2,020",8,19/08/2020,Loteria del Tolima,3870,5932,118,Mayor
"2,020",9,29/09/2020,Loteria del Tolima,3876,2516,6,Mayor
"2,020",9,1/09/2020,Loteria del Tolima,3872,6761,37,Mayor
"2,020",9,8/09/2020,Loteria del Tolima,3873,6414,27,Mayor
"2,020",9,15/09/2020,Loteria del Tolima,3874,4385,119,Mayor
"2,020",9,22/09/2020,Loteria del Tolima,3875,68,143,Mayor
"2,020",10,27/10/2020,Loteria del Tolima,3880,4958,29,Mayor
"2,020",10,14/10/2020,Loteria del Tolima,3878,3833,124,Mayor
"2,020",10,6/10/2020,Loteria del Tolima,3877,3496,135,Mayor
"2,020",10,20/10/2020,Loteria del Tolima,3879,7191,72,Mayor
"2,020",11,12/11/2020,Loteria del Tolima,3882,7389,55,Mayor
"2,020",11,4/11/2020,Loteria del Tolima,3881,2316,98,Mayor
"2,020",11,18/11/2020,Loteria del Tolima,3883,9183,37,Mayor
"2,020",11,24/11/2020,Loteria del Tolima,3884,9112,63,Mayor
"2,020",12,8/12/2020,Loteria del Tolima,3886,9260,87,Mayor
"2,020",12,1/12/2020,Loteria del Tolima,3885,7574,90,Mayor
"2,020",12,29/12/2020,Loteria del Tolima,3889,8144,88,Mayor
"2,020",12,15/12/2020,Loteria del Tolima,3887,1292,93,Mayor
"2,020",12,22/12/2020,Loteria del Tolima,3888,1058,59,Mayor
"2,020",1,28/01/2020,Loteria del Tolima,3848,4743,66,Secos
"2,020",1,8/01/2020,Loteria del Tolima,3845,7989,52,Secos
"2,020",1,14/01/2020,Loteria del Tolima,3846,5492,139,Secos
"2,020",1,21/01/2020,Loteria del Tolima,3847,1206,52,Secos
"2,020",2,12/02/2020,Loteria del Tolima,3850,5235,52,Secos
"2,020",2,4/02/2020,Loteria del Tolima,3849,7792,100,Secos
"2,020",2,18/02/2020,Loteria del Tolima,3851,4334,38,Secos
"2,020",4,1/04/2020,Loteria del Tolima,3853,4883,5,Secos
"2,020",4,1/04/2020,Loteria del Tolima,3855,5518,61,Secos
"2,020",4,1/04/2020,Loteria del Tolima,3852,7236,136,Secos
"2,020",4,1/04/2020,Loteria del Tolima,3854,7590,97,Secos
"2,020",5,12/05/2020,Loteria del Tolima,3856,7084,25,Secos
"2,020",5,19/05/2020,Loteria del Tolima,3857,8106,43,Secos
"2,020",5,27/05/2020,Loteria del Tolima,3858,3505,82,Secos
"2,020",6,17/06/2020,Loteria del Tolima,3861,6282,139,Secos
"2,020",7,8/07/2020,Loteria del Tolima,3864,8349,67,Secos
"2,020",6,24/06/2020,Loteria del Tolima,3862,9575,86,Secos
"2,020",6,2/06/2020,Loteria del Tolima,3859,4357,124,Secos
"2,020",6,9/06/2020,Loteria del Tolima,3860,563,89,Secos
