Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,9/01/2020,Loteria del Valle,4524,1998,239,Mayor
"2,020",1,16/01/2020,Loteria del Valle,4525,8484,226,Mayor
"2,020",1,8/01/2020,Loteria del Valle,4523,465,114,Mayor
"2,020",1,5/01/2021,Loteria del Valle,4568,8874,133,Mayor
"2,020",1,23/01/2020,Loteria del Valle,4526,4432,213,Mayor
"2,020",1,30/01/2020,Loteria del Valle,4527,1614,32,Mayor
"2,020",2,6/02/2020,Loteria del Valle,4528,8713,139,Mayor
"2,020",2,20/02/2020,Loteria del Valle,4530,1532,186,Mayor
"2,020",2,13/02/2020,Loteria del Valle,4529,6468,150,Mayor
"2,020",2,29/02/2020,Loteria del Valle,4531,8676,78,Mayor
"2,020",3,30/03/2020,Loteria del Valle,4533,2074,195,Mayor
"2,020",3,30/03/2020,Loteria del Valle,4532,5778,157,Mayor
"2,020",4,3/04/2020,Loteria del Valle,4534,8816,153,Mayor
"2,020",5,14/05/2020,Loteria del Valle,4535,8361,147,Mayor
"2,020",5,28/05/2020,Loteria del Valle,4537,8109,171,Mayor
"2,020",5,22/05/2020,Loteria del Valle,4536,9708,51,Mayor
"2,020",6,30/06/2020,Loteria del Valle,4541,8962,115,Mayor
"2,020",6,16/06/2020,Loteria del Valle,4539,2897,136,Mayor
"2,020",6,4/06/2020,Loteria del Valle,4538,5680,130,Mayor
"2,020",6,18/06/2020,Loteria del Valle,4540,5800,161,Mayor
"2,020",7,17/07/2020,Loteria del Valle,4544,9215,234,Mayor
"2,020",7,3/07/2020,Loteria del Valle,4542,5956,223,Mayor
"2,020",7,15/07/2020,Loteria del Valle,4543,780,155,Mayor
"2,020",7,23/07/2020,Loteria del Valle,4545,6845,242,Mayor
"2,020",8,20/08/2020,Loteria del Valle,4549,6742,207,Mayor
"2,020",8,1/08/2020,Loteria del Valle,4546,6264,57,Mayor
"2,020",8,13/08/2020,Loteria del Valle,4548,1087,33,Mayor
"2,020",8,10/08/2020,Loteria del Valle,4547,8288,60,Mayor
"2,020",8,27/08/2020,Loteria del Valle,4550,2620,99,Mayor
"2,020",9,17/09/2020,Loteria del Valle,4553,1583,117,Mayor
"2,020",9,11/09/2020,Loteria del Valle,4552,2603,136,Mayor
"2,020",9,4/09/2020,Loteria del Valle,4551,419,170,Mayor
"2,020",9,24/09/2020,Loteria del Valle,4554,5328,168,Mayor
"2,020",10,23/10/2020,Loteria del Valle,4558,2104,131,Mayor
"2,020",10,1/10/2020,Loteria del Valle,4555,1667,130,Mayor
"2,020",10,29/10/2020,Loteria del Valle,4559,3954,19,Mayor
"2,020",10,19/10/2020,Loteria del Valle,4557,2472,232,Mayor
"2,020",10,8/10/2020,Loteria del Valle,4556,6481,92,Mayor
"2,020",11,20/11/2020,Loteria del Valle,4562,4753,145,Mayor
"2,020",11,18/11/2020,Loteria del Valle,4561,4936,27,Mayor
"2,020",11,5/11/2020,Loteria del Valle,4560,1266,127,Mayor
"2,020",12,2/12/2020,Loteria del Valle,4563,2703,134,Mayor
"2,020",12,24/12/2020,Loteria del Valle,4567,2160,47,Mayor
"2,020",12,15/12/2020,Loteria del Valle,4565,153,213,Mayor
"2,020",12,4/12/2020,Loteria del Valle,4564,5979,226,Mayor
"2,020",12,17/12/2020,Loteria del Valle,4566,4935,236,Mayor
"2,020",1,9/01/2020,Loteria del Valle,4524,6824,101,Secos
"2,020",1,16/01/2020,Loteria del Valle,4525,7852,234,Secos
"2,020",1,8/01/2020,Loteria del Valle,4523,5065,108,Secos
"2,020",1,30/01/2020,Loteria del Valle,4527,1681,242,Secos
"2,020",1,23/01/2020,Loteria del Valle,4526,3020,150,Secos
"2,020",2,6/02/2020,Loteria del Valle,4528,709,12,Secos
"2,020",2,13/02/2020,Loteria del Valle,4529,8253,185,Secos
"2,020",2,20/02/2020,Loteria del Valle,4530,4053,110,Secos
"2,020",2,29/02/2020,Loteria del Valle,4531,8584,36,Secos
"2,020",3,30/03/2020,Loteria del Valle,4533,8908,218,Secos
"2,020",3,30/03/2020,Loteria del Valle,4532,3489,49,Secos
"2,020",4,3/04/2020,Loteria del Valle,4534,3558,173,Secos
"2,020",5,14/05/2020,Loteria del Valle,4535,1967,96,Secos
"2,020",5,22/05/2020,Loteria del Valle,4536,5138,194,Secos
"2,020",1,23/01/2020,Loteria del Valle,4526,6070,184,Secos
"2,020",1,8/01/2020,Loteria del Valle,4523,1633,177,Secos
"2,020",1,16/01/2020,Loteria del Valle,4525,2046,214,Secos
"2,020",1,5/01/2021,Loteria del Valle,4568,2053,248,Secos
"2,020",1,9/01/2020,Loteria del Valle,4524,7874,109,Secos
"2,020",1,30/01/2020,Loteria del Valle,4527,4593,194,Secos
"2,020",2,6/02/2020,Loteria del Valle,4528,6103,184,Secos
"2,020",2,13/02/2020,Loteria del Valle,4529,370,172,Secos
"2,020",2,20/02/2020,Loteria del Valle,4530,7985,103,Secos
"2,020",2,29/02/2020,Loteria del Valle,4531,3996,226,Secos
"2,020",3,30/03/2020,Loteria del Valle,4532,3782,134,Secos
"2,020",3,30/03/2020,Loteria del Valle,4533,3112,212,Secos
"2,020",4,3/04/2020,Loteria del Valle,4534,446,117,Secos
"2,020",5,14/05/2020,Loteria del Valle,4535,5819,165,Secos
"2,020",5,28/05/2020,Loteria del Valle,4537,5319,192,Secos
"2,020",5,22/05/2020,Loteria del Valle,4536,2343,245,Secos
"2,020",6,18/06/2020,Loteria del Valle,4540,4206,204,Secos
"2,020",6,30/06/2020,Loteria del Valle,4541,5875,9,Secos
"2,020",6,4/06/2020,Loteria del Valle,4538,7321,180,Secos
"2,020",6,16/06/2020,Loteria del Valle,4539,3071,159,Secos
"2,020",7,3/07/2020,Loteria del Valle,4542,286,182,Secos
"2,020",7,15/07/2020,Loteria del Valle,4543,9512,69,Secos
"2,020",7,23/07/2020,Loteria del Valle,4545,8538,164,Secos
"2,020",7,17/07/2020,Loteria del Valle,4544,6397,119,Secos
"2,020",8,20/08/2020,Loteria del Valle,4549,5969,225,Secos
"2,020",8,13/08/2020,Loteria del Valle,4548,6878,213,Secos
"2,020",8,27/08/2020,Loteria del Valle,4550,5050,164,Secos
"2,020",8,10/08/2020,Loteria del Valle,4547,973,231,Secos
"2,020",8,1/08/2020,Loteria del Valle,4546,6935,10,Secos
"2,020",9,24/09/2020,Loteria del Valle,4554,5653,95,Secos
"2,020",9,4/09/2020,Loteria del Valle,4551,628,127,Secos
"2,020",9,17/09/2020,Loteria del Valle,4553,3113,25,Secos
"2,020",9,11/09/2020,Loteria del Valle,4552,328,107,Secos
"2,020",10,1/10/2020,Loteria del Valle,4555,7329,173,Secos
"2,020",10,19/10/2020,Loteria del Valle,4557,2521,248,Secos
"2,020",10,8/10/2020,Loteria del Valle,4556,8455,209,Secos
"2,020",10,29/10/2020,Loteria del Valle,4559,1519,4,Secos
"2,020",10,23/10/2020,Loteria del Valle,4558,7468,114,Secos
"2,020",11,18/11/2020,Loteria del Valle,4561,2151,48,Secos
"2,020",11,20/11/2020,Loteria del Valle,4562,4694,54,Secos
"2,020",11,5/11/2020,Loteria del Valle,4560,6743,112,Secos
"2,020",12,4/12/2020,Loteria del Valle,4564,2685,138,Secos
"2,020",12,24/12/2020,Loteria del Valle,4567,9970,142,Secos
"2,020",12,15/12/2020,Loteria del Valle,4565,447,139,Secos
"2,020",12,2/12/2020,Loteria del Valle,4563,3891,62,Secos
"2,020",12,17/12/2020,Loteria del Valle,4566,8804,25,Secos
"2,020",1,23/01/2020,Loteria del Valle,4526,5317,149,Secos
"2,020",1,9/01/2020,Loteria del Valle,4524,7493,96,Secos
"2,020",1,30/01/2020,Loteria del Valle,4527,6192,234,Secos
"2,020",1,5/01/2021,Loteria del Valle,4568,226,17,Secos
