Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,27/01/2020,Loteria de Medellin,4513,9171,253,Mayor
"2,020",1,20/01/2020,Loteria de Medellin,4512,3311,191,Mayor
"2,020",1,13/01/2020,Loteria de Medellin,4511,6377,141,Mayor
"2,020",1,8/01/2020,Loteria de Medellin,4510,7384,184,Mayor
"2,020",2,17/02/2020,Loteria de Medellin,4516,9019,334,Mayor
"2,020",2,10/02/2020,Loteria de Medellin,4515,2582,42,Mayor
"2,020",2,3/02/2020,Loteria de Medellin,4514,8876,9,Mayor
"2,020",3,30/03/2020,Loteria de Medellin,4518,6798,266,Mayor
"2,020",3,30/03/2020,Loteria de Medellin,4517,1972,277,Mayor
"2,020",3,13/03/2020,Loteria de Medellin,4519,7636,221,Mayor
"2,020",3,18/03/2020,Loteria de Medellin,4520,4702,318,Mayor
"2,020",4,17/04/2020,Loteria de Medellin,4521,9358,47,Mayor
"2,020",5,25/05/2020,Loteria de Medellin,4523,9383,174,Mayor
"2,020",5,18/05/2020,Loteria de Medellin,4522,211,8,Mayor
"2,020",6,1/06/2020,Loteria de Medellin,4524,5044,119,Mayor
"2,020",6,16/06/2020,Loteria de Medellin,4526,2312,126,Mayor
"2,020",6,24/06/2020,Loteria de Medellin,4527,6537,54,Mayor
"2,020",6,6/06/2020,Loteria de Medellin,4525,1560,30,Mayor
"2,020",7,14/07/2020,Loteria de Medellin,4528,8039,166,Mayor
"2,020",7,26/07/2020,Loteria de Medellin,4532,3363,299,Mayor
"2,020",7,13/07/2020,Loteria de Medellin,4530,7424,164,Mayor
"2,020",7,21/07/2020,Loteria de Medellin,4531,9879,69,Mayor
"2,020",7,8/07/2020,Loteria de Medellin,4529,7767,124,Mayor
"2,020",8,31/08/2020,Loteria de Medellin,4537,2613,12,Mayor
"2,020",8,18/08/2020,Loteria de Medellin,4535,6143,20,Mayor
"2,020",8,1/08/2020,Loteria de Medellin,4533,4901,238,Mayor
"2,020",8,24/08/2020,Loteria de Medellin,4536,828,174,Mayor
"2,020",8,10/08/2020,Loteria de Medellin,4534,8984,66,Mayor
"2,020",9,28/09/2020,Loteria de Medellin,4541,9055,46,Mayor
"2,020",9,7/09/2020,Loteria de Medellin,4538,8508,211,Mayor
"2,020",9,14/09/2020,Loteria de Medellin,4539,9315,134,Mayor
"2,020",9,21/09/2020,Loteria de Medellin,4540,7498,32,Mayor
"2,020",10,4/10/2020,Loteria de Medellin,4542,9606,169,Mayor
"2,020",10,13/10/2020,Loteria de Medellin,4543,4439,35,Mayor
"2,020",10,19/10/2020,Loteria de Medellin,4544,3045,120,Mayor
"2,020",10,26/10/2020,Loteria de Medellin,4545,7309,3,Mayor
"2,020",11,24/11/2020,Loteria de Medellin,4549,1495,53,Mayor
"2,020",11,17/11/2020,Loteria de Medellin,4548,3283,146,Mayor
"2,020",11,3/11/2020,Loteria de Medellin,4546,2836,328,Mayor
"2,020",11,12/11/2020,Loteria de Medellin,4547,4387,184,Mayor
"2,020",12,3/12/2020,Loteria de Medellin,4550,6132,236,Mayor
"2,020",12,7/12/2020,Loteria de Medellin,4551,6399,245,Mayor
"2,020",12,21/12/2020,Loteria de Medellin,4553,2429,269,Mayor
"2,020",12,28/12/2020,Loteria de Medellin,4554,1670,299,Mayor
"2,020",12,14/12/2020,Loteria de Medellin,4552,549,312,Mayor
"2,020",12,21/12/2020,Loteria de Medellin,9,9085,154,Mayor
"2,020",1,20/01/2020,Loteria de Medellin,4512,1902,79,Secos
"2,020",1,8/01/2020,Loteria de Medellin,4510,5781,7,Secos
