Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,4/01/2021,Loteria Santander,4790,4477,218,Mayor
"2,020",1,8/01/2020,Loteria Santander,4745,9744,135,Mayor
"2,020",1,20/01/2020,Loteria Santander,4747,6047,82,Mayor
"2,020",1,13/01/2020,Loteria Santander,4746,1331,256,Mayor
"2,020",1,27/01/2020,Loteria Santander,4748,2850,229,Mayor
"2,020",2,3/02/2020,Loteria Santander,4749,6913,308,Mayor
"2,020",2,10/02/2020,Loteria Santander,4750,9686,54,Mayor
"2,020",2,17/02/2020,Loteria Santander,4751,7971,181,Mayor
"2,020",3,29/03/2020,Loteria Santander,4756,3461,211,Mayor
"2,020",3,17/03/2020,Loteria Santander,4755,1687,210,Mayor
"2,020",3,29/03/2020,Loteria Santander,4754,6660,279,Mayor
"2,020",3,29/03/2020,Loteria Santander,4752,344,268,Mayor
"2,020",3,29/03/2020,Loteria Santander,4753,8611,302,Mayor
"2,020",5,25/05/2020,Loteria Santander,4758,9378,63,Mayor
"2,020",5,16/05/2020,Loteria Santander,4757,5005,290,Mayor
"2,020",6,16/06/2020,Loteria Santander,4761,8912,56,Mayor
"2,020",6,1/06/2020,Loteria Santander,4759,4893,264,Mayor
"2,020",6,6/06/2020,Loteria Santander,4760,1015,238,Mayor
"2,020",6,23/06/2020,Loteria Santander,4762,9422,276,Mayor
"2,020",6,30/06/2020,Loteria Santander,4763,9191,145,Mayor
"2,020",7,25/07/2020,Loteria Santander,4767,7538,37,Mayor
"2,020",7,5/07/2020,Loteria Santander,4764,3127,87,Mayor
"2,020",7,13/07/2020,Loteria Santander,4765,4687,297,Mayor
"2,020",7,21/07/2020,Loteria Santander,4766,8255,186,Mayor
"2,020",8,24/08/2020,Loteria Santander,4771,7787,148,Mayor
"2,020",8,10/08/2020,Loteria Santander,4769,8564,105,Mayor
"2,020",8,31/08/2020,Loteria Santander,4772,8268,50,Mayor
"2,020",8,1/08/2020,Loteria Santander,4768,9128,247,Mayor
"2,020",8,18/08/2020,Loteria Santander,4770,3510,157,Mayor
"2,020",9,14/09/2020,Loteria Santander,4774,6005,133,Mayor
"2,020",9,21/09/2020,Loteria Santander,4775,3402,160,Mayor
"2,020",9,28/09/2020,Loteria Santander,4776,8874,236,Mayor
"2,020",9,7/09/2020,Loteria Santander,4773,1192,140,Mayor
"2,020",10,19/10/2020,Loteria Santander,4779,3483,270,Mayor
"2,020",10,13/10/2020,Loteria Santander,4778,4455,189,Mayor
"2,020",10,5/10/2020,Loteria Santander,4777,6728,329,Mayor
"2,020",10,26/10/2020,Loteria Santander,4780,2904,249,Mayor
"2,020",11,23/11/2020,Loteria Santander,4784,3309,251,Mayor
"2,020",11,17/11/2020,Loteria Santander,4783,6709,155,Mayor
"2,020",11,12/11/2020,Loteria Santander,4782,2629,25,Mayor
"2,020",11,30/11/2020,Loteria Santander,4785,2828,92,Mayor
"2,020",11,3/11/2020,Loteria Santander,4781,547,169,Mayor
"2,020",12,7/12/2020,Loteria Santander,4786,7328,259,Mayor
"2,020",12,28/12/2020,Loteria Santander,4789,7409,161,Mayor
"2,020",12,21/12/2020,Loteria Santander,4788,3386,269,Mayor
"2,020",12,14/12/2020,Loteria Santander,4787,4581,217,Mayor
"2,020",6,6/06/2020,Loteria Santander,4760,6889,243,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,6533,270,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,6022,52,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,1568,265,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,8741,121,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,6889,26,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,8315,8,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,3426,244,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,2496,302,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,5684,4,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,199,16,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,6006,335,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,5417,248,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,8879,268,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,5800,128,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,9116,158,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,2431,130,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,9429,281,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,9711,120,Otros
"2,020",6,6/06/2020,Loteria Santander,4760,9023,196,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,7043,233,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,6744,65,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,3352,253,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,9680,293,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,4981,148,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,5769,59,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,8286,317,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,9178,186,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,8490,209,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,6080,302,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,6107,26,Otros
"2,020",8,10/08/2020,Loteria Santander,4769,8770,8,Otros
