Año del Sorteo,Mes del Sorteo,Fecha del Sorteo,Lotería,Número del Sorteo,Numero billete ganador,Numero serie ganadora,Tipo de Premio
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,5468,308,Mayor
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3523,210,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,474,45,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8872,63,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3123,264,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8650,312,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2910,279,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2973,90,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3885,297,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6949,169,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4608,191,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2845,250,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6032,254,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8142,188,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7075,118,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4498,33,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,5184,44,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3905,31,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4642,58,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9703,273,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1442,47,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3132,186,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2471,312,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2747,73,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1725,29,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7319,365,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2763,89,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,320,12,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4338,137,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2570,131,Secos
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9896,16,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8221,190,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1673,252,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2763,90,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,590,296,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3390,110,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8007,273,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9875,323,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3835,259,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,5871,51,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6541,187,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2315,282,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9285,351,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7183,141,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1504,35,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4007,363,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2490,225,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,132,111,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6071,359,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,649,189,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,364,198,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7617,87,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6402,7,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1270,243,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7441,241,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8694,322,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1628,336,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3008,157,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8785,322,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7133,33,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4047,282,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4376,248,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4683,296,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4432,283,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7426,262,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4747,16,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2685,31,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4674,219,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6875,18,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,5887,60,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,250,162,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7171,29,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4475,59,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8942,358,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8918,219,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9610,248,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4660,327,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8783,141,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1156,250,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2769,355,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6235,122,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,465,113,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,5416,3,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1701,278,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3097,336,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1323,301,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8751,118,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3029,8,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,434,261,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1269,36,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9161,6,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,935,52,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,7124,217,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8627,294,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4553,232,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6746,205,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3131,197,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9296,101,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9095,256,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2728,97,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1389,256,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6676,244,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,8861,67,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,9462,143,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,1622,118,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,2123,176,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,6519,91,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,4385,289,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3792,245,Otros
"2,020",1,12/01/2021,Sorteo Extraordinario - Asociado,2,3586,39,Otros
